YearMonth,Date,Year,Month,Total_Records,Total_Fires,Fire_Rate,Standard_TP,Standard_FP,Standard_FN,Standard_TN,Standard_Precision,Standard_Recall,Standard_F1,Seq21_TP,Seq21_FP,Seq21_FN,Seq21_TN,Seq21_Precision,Seq21_Recall,Seq21_F1,Seq7_TP,Seq7_FP,Seq7_FN,Seq7_TN,Seq7_Precision,Seq7_Recall,Seq7_F1,Reduced_TP,Reduced_FP,Reduced_FN,Reduced_TN,Reduced_Precision,Reduced_Recall,Reduced_F1
2024-01,2024-01-22,2024,1,22940,3,0.00013077593722755012,0,0,3,22937,0.0,0.0,0.0,0,23,3,22914,0.0,0.0,0.0,0,0,3,22937,0.0,0.0,0.0,0,0,3,22937,0.0,0.0,0.0
2024-02,2024-02-01,2024,2,66526,5,7.515858461353456e-05,0,0,5,66521,0.0,0.0,0.0,0,66,5,66455,0.0,0.0,0.0,0,0,5,66521,0.0,0.0,0.0,0,0,5,66521,0.0,0.0,0.0
2024-03,2024-03-01,2024,3,71114,38,0.0005343532918975167,0,0,38,71076,0.0,0.0,0.0,0,75,38,71001,0.0,0.0,0.0,0,0,38,71076,0.0,0.0,0.0,0,0,38,71076,0.0,0.0,0.0
2024-04,2024-04-01,2024,4,68820,83,0.0012060447544318513,0,0,83,68737,0.0,0.0,0.0,0,0,83,68737,0.0,0.0,0.0,0,0,83,68737,0.0,0.0,0.0,0,0,83,68737,0.0,0.0,0.0
2024-05,2024-05-01,2024,5,71114,89,0.0012515116573389206,0,0,89,71025,0.0,0.0,0.0,0,0,89,71025,0.0,0.0,0.0,0,0,89,71025,0.0,0.0,0.0,0,0,89,71025,0.0,0.0,0.0
2024-06,2024-06-01,2024,6,68820,101,0.0014675966288869515,1,594,100,68125,0.0016806722689075631,0.009900990099009901,0.0028735632183908046,0,68,101,68651,0.0,0.0,0.0,1,766,100,67953,0.001303780964797914,0.009900990099009901,0.002304147465437788,1,324,100,68395,0.003076923076923077,0.009900990099009901,0.004694835680751174
2024-07,2024-07-01,2024,7,71114,539,0.00757937958770425,231,8948,308,61627,0.02516614010240767,0.42857142857142855,0.047540646223502785,115,2843,424,67732,0.03887762001352265,0.21335807050092764,0.06577066056619961,251,8896,288,61679,0.02744069093691921,0.46567717996289426,0.051827379723312,185,6601,354,63974,0.02726201002063071,0.3432282003710575,0.050511945392491465
2024-08,2024-08-01,2024,8,71114,410,0.005765390780999522,115,3034,295,67670,0.03651953000952683,0.2804878048780488,0.06462489463332396,47,927,363,69777,0.048254620123203286,0.11463414634146342,0.06791907514450868,122,3196,288,67508,0.03676913803496082,0.2975609756097561,0.06545064377682404,104,2395,306,68309,0.041616646658663464,0.25365853658536586,0.0715022344448264
2024-09,2024-09-01,2024,9,68820,80,0.0011624527753560012,4,325,76,68415,0.0121580547112462,0.05,0.019559902200488997,0,9,80,68731,0.0,0.0,0.0,1,268,79,68472,0.0037174721189591076,0.0125,0.005730659025787965,1,128,79,68612,0.007751937984496124,0.0125,0.009569377990430622
2024-10,2024-10-01,2024,10,71114,39,0.0005484152206316618,0,5,39,71070,0.0,0.0,0.0,0,21,39,71054,0.0,0.0,0.0,0,0,39,71075,0.0,0.0,0.0,0,6,39,71069,0.0,0.0,0.0
2024-11,2024-11-01,2024,11,68820,2,2.906131938390003e-05,0,0,2,68818,0.0,0.0,0.0,0,54,2,68764,0.0,0.0,0.0,0,0,2,68818,0.0,0.0,0.0,0,0,2,68818,0.0,0.0,0.0
2024-12,2024-12-01,2024,12,71114,1,1.4061928734145175e-05,0,0,1,71113,0.0,0.0,0.0,0,226,1,70887,0.0,0.0,0.0,0,0,1,71113,0.0,0.0,0.0,0,0,1,71113,0.0,0.0,0.0
